participant_id,random_id,trial_index,trial_number,time_elapsed,condition,category,level,selection_array,selection_index,rt_array,selection_type_array,final_choice_array,final_rt,index,test_choice,choice_type,choice_category,choice_match_category,choice_type_training_consistent
Beaver,p0dl5tzjk4h,10,5,106678,3-item,vehicles,subordinate,"[""stimuli/c2_sub4.jpg"",""stimuli/c2_sub5.jpg""]","[5,9]","[6939,8868]","[""select"",""select""]","[""stimuli/c2_sub4.jpg"",""stimuli/c2_sub5.jpg""]",13918,2,stimuli/c2_sub5.jpg,subordinate,vehicles,1,1
Beaver,p0dl5tzjk4h,11,6,117852,3-item,vehicles,basic,"[""stimuli/c2_sub4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_sub5.jpg""]","[8,4,15,20]","[4523,5468,7271,8802]","[""select"",""select"",""select"",""select""]","[""stimuli/c2_sub4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_sub5.jpg""]",11168,1,stimuli/c2_sub4.jpg,subordinate,vehicles,1,1
Beaver,p0dl5tzjk4h,11,6,117852,3-item,vehicles,basic,"[""stimuli/c2_sub4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_sub5.jpg""]","[8,4,15,20]","[4523,5468,7271,8802]","[""select"",""select"",""select"",""select""]","[""stimuli/c2_sub4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_sub5.jpg""]",11168,2,stimuli/c2_bas4.jpg,basic,vehicles,1,1
Beaver,p0dl5tzjk4h,11,6,117852,3-item,vehicles,basic,"[""stimuli/c2_sub4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_sub5.jpg""]","[8,4,15,20]","[4523,5468,7271,8802]","[""select"",""select"",""select"",""select""]","[""stimuli/c2_sub4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_sub5.jpg""]",11168,3,stimuli/c2_bas3.jpg,basic,vehicles,1,1
Beaver,p0dl5tzjk4h,11,6,117852,3-item,vehicles,basic,"[""stimuli/c2_sub4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_sub5.jpg""]","[8,4,15,20]","[4523,5468,7271,8802]","[""select"",""select"",""select"",""select""]","[""stimuli/c2_sub4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_bas3.jpg"",""stimuli/c2_sub5.jpg""]",11168,4,stimuli/c2_sub5.jpg,subordinate,vehicles,1,1
Beaver,p0dl5tzjk4h,12,7,134674,3-item,animals,basic,"[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_bas4.jpg""]","[3,5,14,13]","[6693,7882,10351,11020]","[""select"",""select"",""select"",""select""]","[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_bas4.jpg""]",16815,1,stimuli/c3_sub5.jpg,subordinate,animals,1,1
Beaver,p0dl5tzjk4h,12,7,134674,3-item,animals,basic,"[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_bas4.jpg""]","[3,5,14,13]","[6693,7882,10351,11020]","[""select"",""select"",""select"",""select""]","[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_bas4.jpg""]",16815,2,stimuli/c3_sub4.jpg,subordinate,animals,1,1
Beaver,p0dl5tzjk4h,12,7,134674,3-item,animals,basic,"[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_bas4.jpg""]","[3,5,14,13]","[6693,7882,10351,11020]","[""select"",""select"",""select"",""select""]","[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_bas4.jpg""]",16815,3,stimuli/c3_bas3.jpg,basic,animals,1,1
Beaver,p0dl5tzjk4h,12,7,134674,3-item,animals,basic,"[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_bas4.jpg""]","[3,5,14,13]","[6693,7882,10351,11020]","[""select"",""select"",""select"",""select""]","[""stimuli/c3_sub5.jpg"",""stimuli/c3_sub4.jpg"",""stimuli/c3_bas3.jpg"",""stimuli/c3_bas4.jpg""]",16815,4,stimuli/c3_bas4.jpg,basic,animals,1,1
Beaver,p0dl5tzjk4h,13,8,147298,3-item,vegetables,basic,"[""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg""]","[3,4,8,23]","[4353,5090,6720,9575]","[""select"",""select"",""select"",""select""]","[""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg""]",12618,1,stimuli/c1_sub5.jpg,subordinate,vegetables,1,1
